model,file_path,domain,cer,wer,first_partial_latency_s,first_final_latency_s,finalization_latency_s,total_latency_s,audio_duration_s,rtf,num_partial_results,num_final_results,ref,hyp
deepgram_nova3_streaming,/audio_books/book_10_d_369.wav,audio_books,0.02564102564102564,0.16666666666666666,2.31,3.535,1.567,3.536,1.969,1.7961,1,1,পাকিস্তানী ও বিহারীদের ধোঁকা দেবার জন্য,পাকিস্তানি ও বিহারীদের ধোঁকা দেবার জন্য
deepgram_nova3_streaming,/audio_books/book_10_d_819.wav,audio_books,0.20833333333333334,0.4,2.229,2.961,1.442,2.968,1.526,1.9452,1,1,এই পেছনে কিছু সাটা দরকার,"পেছনে কিছু ছাঁটা দরকার,"
deepgram_nova3_streaming,/audio_books/book_10_d_350.wav,audio_books,0.0,0.0,,2.281,1.565,2.283,0.718,3.1801,0,1,এসব বলে,এসব বলে।
deepgram_nova3_streaming,/audio_books/book_10_d_49.wav,audio_books,0.25,0.25,2.181,2.698,1.424,2.743,1.319,2.0796,1,1,কেবল তার সঙ্গে ছাড়া,তার সঙ্গে ছাড়া
deepgram_nova3_streaming,/audio_books/book_10_d_361.wav,audio_books,0.10204081632653061,0.2857142857142857,2.394,3.894,1.533,3.931,2.398,1.6394,2,1,পাকিস্তানি সৈন্যদের হাতে তুলে দিয়ে নিষ্কৃতি পায়,পাকিস্তানি সৈন্যদের হাতে তুলে দিনষ্কৃতি পায়।
deepgram_nova3_streaming,/audio_books/book_10_d_747.wav,audio_books,0.5,0.5,,2.012,1.272,2.018,0.746,2.7053,0,1,শরিফকে বললাম,"সৃষ্টি বললাম,"
deepgram_nova3_streaming,/audio_books/book_10_d_329.wav,audio_books,0.034482758620689655,0.2,2.173,2.968,1.331,3.018,1.687,1.7889,1,1,আরেকটু দূরে কৃষ্ণা ফার্মে গেল,আরেকটু দূরে কৃষ্ণ ফার্মে গেল।
deepgram_nova3_streaming,/audio_books/book_10_d_268.wav,audio_books,0.0,0.0,2.235,2.422,1.322,2.477,1.155,2.1449,1,1,মিসেস হোসেন বললেন,"মিসেস হোসেন বললেন,"
deepgram_nova3_streaming,/audio_books/book_10_d_631.wav,audio_books,0.0,0.0,2.244,2.684,1.34,2.733,1.393,1.9618,1,1,একটু পরেই ফোন বেজে উঠল,একটু পরেই ফোন বেজে উঠল।
deepgram_nova3_streaming,/audio_books/book_10_d_694.wav,audio_books,0.02702702702702703,0.16666666666666666,2.057,3.181,1.319,3.236,1.917,1.688,1,1,ব্রিজের ফাইলগুলো তার অফিসে দিয়ে যেতে,"ব্রিজের ফাইলগুলি তার অফিসে দিয়ে যেতে,"
deepgram_nova3_streaming,/audio_books/book_10_d_484.wav,audio_books,0.13513513513513514,0.16666666666666666,2.474,3.604,1.659,3.649,1.99,1.8336,1,1,আমরা সবাই বেশ উদ্বিগ্ন হয়ে পড়েছিলাম,সবাই বেশ উদ্বিগ্ন হয়ে পড়েছিলাম।
deepgram_nova3_streaming,/audio_books/book_10_d_765.wav,audio_books,0.06666666666666667,0.16666666666666666,2.343,3.539,1.575,3.581,2.006,1.785,2,1,নামার সময় পায়ের গতি শ্লথ করে,নামার সময় পায়ের গতি স্লট করে
deepgram_nova3_streaming,/audio_books/book_10_d_528.wav,audio_books,0.0967741935483871,0.3333333333333333,2.43,3.426,1.632,3.469,1.837,1.8887,1,1,আরো এরকম রোগী হাসপাতালে লোক আনত,"আরো এরকম রোগী হাসপাতালে লোকান্ত,"
deepgram_nova3_streaming,/audio_books/book_10_d_643.wav,audio_books,0.19230769230769232,0.2857142857142857,2.279,3.839,1.419,3.84,2.421,1.5863,2,1,স্কুলের গেটের ভেতর ঢুকলে তারপরের দায়িত্বটুকু আমাদের,গেটের ভেতর ঢুকলে তারপর দায়িত্বটুকু আমাদের
deepgram_nova3_streaming,/audio_books/book_10_d_623.wav,audio_books,0.2571428571428571,0.8,,3.118,1.312,3.157,1.845,1.7111,0,1,হেডমাস্টার খান মোহাম্মদ সালেক সাহেব,হেড মাস্টার খান মো: শালিক সাহেব
deepgram_nova3_streaming,/audio_books/book_10_d_564.wav,audio_books,0.02631578947368421,0.2,2.277,3.385,1.449,3.437,1.988,1.7288,1,1,ওখানকার জিন্নাহ পিজি হাসপাতালে পোস্টেড,"ওখানকার জিন্নাহ পিজি হাসপাতালে পোস্টেট,"
deepgram_nova3_streaming,/audio_books/book_10_d_621.wav,audio_books,0.05263157894736842,0.25,2.106,2.501,1.304,2.55,1.246,2.0468,1,1,জামি স্কুলে যায় না,"যামি স্কুলে যায় না,"
deepgram_nova3_streaming,/audio_books/book_10_d_644.wav,audio_books,0.13333333333333333,0.2,2.183,3.144,1.43,3.145,1.715,1.8341,1,1,আরো খানিকক্ষণ ধৈর্য ধরে শুনলেন,"খানিকক্ষণ ধৈর্য ধরে শুনলেন,"
deepgram_nova3_streaming,/audio_books/book_10_d_388.wav,audio_books,0.12,0.3333333333333333,2.347,2.881,1.596,2.929,1.333,2.1976,1,1,সেই অ্যাসিস্টেন্ট কেমিস্ট,সেই অ্যাসিস্ট্যান্ট কেমিস্ট
deepgram_nova3_streaming,/audio_books/book_10_d_269.wav,audio_books,0.043478260869565216,0.2,2.383,2.792,1.503,2.793,1.29,2.1651,1,1,সেই ছেলে এখন খুব অসুস্থ,সে ছেলে এখন খুব অসুস্থ
deepgram_nova3_streaming,/audio_books/book_10_d_58.wav,audio_books,0.0,0.0,,2.007,1.287,2.008,0.721,2.785,0,1,আমরাও যাই,আমরাও যাই।
deepgram_nova3_streaming,/audio_books/book_10_d_636.wav,audio_books,0.0,0.0,2.233,2.988,1.415,3.032,1.617,1.8751,1,1,জি হ্যাঁ স্কুল তো খোলাই,"জি হ্যাঁ, স্কুল তো খোলাই,"
deepgram_nova3_streaming,/audio_books/book_10_d_1085.wav,audio_books,0.08695652173913043,0.3333333333333333,2.336,2.647,1.535,2.697,1.162,2.3206,1,1,একটা গ্রেনেডও ফাটিয়েছে,একটা গ্রিনেরও ফাটিয়েছে
deepgram_nova3_streaming,/audio_books/book_10_d_393.wav,audio_books,0.0,0.0,2.238,2.478,1.373,2.522,1.149,2.1947,1,1,তখন মিসেস রহমান,"তখন মিসেস রহমান,"
deepgram_nova3_streaming,/audio_books/book_10_d_726.wav,audio_books,0.03278688524590164,0.3333333333333333,2.133,4.523,1.295,4.529,3.234,1.4006,3,1,দুই নম্বর সেক্টরের মুক্তিযুদ্ধা শাহাদাত চৌধুরী আর হাবিবুল আলম,"দুই নম্বর সেক্টরের মুক্তিযোদ্ধা, শাহাদাত চৌধুরী আর হাবি বুল আলম,"
deepgram_nova3_streaming,/audio_books/book_10_d_427.wav,audio_books,0.058823529411764705,0.2857142857142857,2.338,3.367,1.588,3.415,1.827,1.8692,1,1,পরদিন গরু গাড়ী করে পাঁচ মাইল দূরে,পরদিন গরুর গাড়ি করে পাঁচ মাইল দূরে
deepgram_nova3_streaming,/audio_books/book_10_d_566.wav,audio_books,0.09090909090909091,0.25,2.452,2.968,1.639,2.969,1.33,2.2322,1,1,এই মিটিংটা উনি ডেকেছেন,"এই মিটিংটা উনি দেখেছেন,"
deepgram_nova3_streaming,/audio_books/book_10_d_803.wav,audio_books,0.08333333333333333,0.2,2.272,4.234,1.506,4.28,2.774,1.543,2,1,সেটা ঠেলে এনে ঘরের অপর পাশে দেয়াল ঘেঁষে রাখা হল,সেটা ঠেলে এনে ঘরের অপর পাশের দেয়াল ঘেঁষে রাখা
deepgram_nova3_streaming,/audio_books/book_10_d_539.wav,audio_books,0.05263157894736842,0.2,2.37,3.397,1.554,3.442,1.888,1.8232,1,1,তাদেরও ছেড়ে দেয়নি পাকিস্তানি পাষাণরা,"তাদেরও ছেড়ে দেয়নি পাকিস্তানি পাশারা,"
deepgram_nova3_streaming,/audio_books/book_10_d_301.wav,audio_books,0.09523809523809523,0.6666666666666666,2.369,2.622,1.431,2.623,1.192,2.2002,1,1,মান্ধাতা আমলের বন্ধুক,"মান্নাতা আমলের বন্দুক,"
deepgram_nova3_streaming,/audio_books/book_10_d_378.wav,audio_books,0.3181818181818182,0.3333333333333333,2.127,3.091,1.408,3.119,1.711,1.8231,1,1,৫ মে খুব সকালে খবর আসে,"পাঁচ মেয়ে খুব সকালে খবর আসে,"
deepgram_nova3_streaming,/audio_books/book_10_d_13.wav,audio_books,0.0,0.0,2.391,2.995,1.623,3.04,1.417,2.1452,1,1,বেনাপোল সীমান্তে গেলেন,"বেনাপোল সীমান্তে গেলেন,"
deepgram_nova3_streaming,/audio_books/book_10_d_820.wav,audio_books,0.04477611940298507,0.08333333333333333,2.154,5.068,1.409,5.074,3.665,1.3844,3,1,মাঝখানের ৪ ফুট ফাঁকের জন্য পর্দার কাপড় কিনতে গিয়ে দোকানে খোঁজ করে,মাঝখানের চার ফুট ফাঁকের জন্য পর্দার কাপড় কিনতে গিয়ে দোকানে খোঁজ করে।
deepgram_nova3_streaming,/audio_books/book_10_d_781.wav,audio_books,0.3333333333333333,0.6666666666666666,2.358,2.985,1.554,2.987,1.433,2.0842,1,1,জুলাই ৯ ১৯৭১,"জুলাই নয়, ১৯১,"
deepgram_nova3_streaming,/audio_books/book_10_d_313.wav,audio_books,0.0,0.0,2.321,3.37,1.541,3.372,1.831,1.8414,1,1,তাতে আসলাম বলে এক পাকিস্তানি মেজর,তাতে আসলাম বলে এক পাকিস্তানি মেজর
deepgram_nova3_streaming,/audio_books/book_10_d_698.wav,audio_books,0.07894736842105263,0.42857142857142855,2.434,3.655,1.619,3.702,2.083,1.7772,2,1,সেসবের তালিকা বানানো কি চারটি খানি কথা,সেসবের তালিকায় বানানো কি চারটিখানি কথা?
deepgram_nova3_streaming,/audio_books/book_10_d_1012.wav,audio_books,0.11764705882352941,0.4,2.296,3.312,1.522,3.361,1.839,1.8278,1,1,এনায়েতপুর থেকে ঢাকায় এসে পৌঁছেছে,এনায়পুর থেকে ঢাকা এসে পৌঁছেছে।
deepgram_nova3_streaming,/audio_books/book_10_d_675.wav,audio_books,0.3125,0.3333333333333333,,2.2,1.268,2.207,0.939,2.3509,0,1,ওদের খেলা দেখবার,খেলা দেখবার
deepgram_nova3_streaming,/audio_books/book_10_d_410.wav,audio_books,0.17857142857142858,0.2,2.248,2.819,1.407,2.824,1.417,1.9933,1,1,তারা গুলির শব্দ শুনতে পায়নি,গুলির শব্দ শুনতে পায়নি।
deepgram_nova3_streaming,/audio_books/book_10_d_703.wav,audio_books,0.075,0.2222222222222222,2.102,3.547,1.349,3.595,2.246,1.6008,2,1,শরীফ ও বাকার হাতের লেখা যেন চেনা না যায়,শরীফ ও বাঁচার হাতে লেখা যেন চেনা না যায়
deepgram_nova3_streaming,/audio_books/book_10_d_724.wav,audio_books,0.0,0.0,2.114,2.927,1.306,2.971,1.665,1.7841,1,1,গাল পর্যন্ত নেমে আসা জুলপি,"গাল পর্যন্ত নেমে আসা জুলপি,"
deepgram_nova3_streaming,/audio_books/book_10_d_169.wav,audio_books,0.0,0.0,2.38,2.664,2.791,3.958,1.167,3.3915,1,1,নতুনত্ব কিছুই নেই,নতুনত্ব কিছুই নেই
deepgram_nova3_streaming,/audio_books/book_10_d_791.wav,audio_books,0.42105263157894735,0.5,2.207,2.431,1.298,2.48,1.182,2.0985,1,1,সদর দরজা দিয়ে ঢুকে,"সদর যদি ঢুকে,"
deepgram_nova3_streaming,/audio_books/book_10_d_710.wav,audio_books,0.14285714285714285,0.5,2.11,2.445,1.24,2.488,1.248,1.9937,1,1,শরীফ ওদের বলে দিয়েছে,"শরীর পদে বলে দিয়েছে,"
deepgram_nova3_streaming,/audio_books/book_10_d_116.wav,audio_books,0.4444444444444444,0.6666666666666666,2.445,2.758,1.615,2.76,1.145,2.4105,1,1,হাতের লেখা চিনেছেন,লেখা চিনেন?
deepgram_nova3_streaming,/audio_books/book_10_d_315.wav,audio_books,0.0847457627118644,0.2222222222222222,2.391,4.389,1.606,4.39,2.784,1.5768,2,1,মুক্তিবাহিনী ওদের লালপুর বলে একটা জায়গায় নিয়ে গুলি করেছে,মুক্তিবাহিনী ওদের লাল পূর্ব একটা জায়গায় নিয়ে গুলি করেছে।
deepgram_nova3_streaming,/audio_books/book_10_d_563.wav,audio_books,0.0,0.0,2.143,2.963,1.31,2.972,1.662,1.7884,1,1,ডাক্তার ইব্রাহিম করাচিতে রয়েছেন,"ডাক্তার ইব্রাহিম করাচিতে রয়েছেন,"
deepgram_nova3_streaming,/audio_books/book_10_d_498.wav,audio_books,0.0,0.0,,2.012,1.287,2.021,0.734,2.7534,0,1,এসবের জন্য,এসবের জন্য।
deepgram_nova3_streaming,/audio_books/book_10_d_112.wav,audio_books,0.2,0.2,2.307,3.022,1.484,3.024,1.54,1.9634,1,1,তাতে ছোট্ট একটা চিঠি লিখে,ছোট্ট একটা চিঠি লিখে
deepgram_nova3_streaming,/audio_books/book_10_d_85.wav,audio_books,0.10638297872340426,0.1111111111111111,2.332,4.269,1.55,4.311,2.761,1.5615,2,1,সবাই নিজ নিজ বাড়ির দরজা জানলার হুক হুড়কো দেখে,"সবাই নিজ নিজ বাড়ির দরজা জানলার হুক রুখে দেখে,"
deepgram_nova3_streaming,/audio_books/book_10_d_35.wav,audio_books,0.05555555555555555,0.3333333333333333,2.446,2.863,1.645,2.903,1.258,2.3072,1,1,তাকে গণহত্যা ছাড়া,তাকে গণহত্যার ছাড়া
deepgram_nova3_streaming,/audio_books/book_10_d_830.wav,audio_books,0.05405405405405406,0.14285714285714285,2.358,3.536,1.515,3.573,2.058,1.7363,2,1,এসব শেষ করতে করতে সন্ধ্যে পেরিয়ে গেল,"এসব শেষ করতে করতে সন্ধে পেরিয়ে গেল,"
deepgram_nova3_streaming,/audio_books/book_10_d_565.wav,audio_books,0.021739130434782608,0.16666666666666666,2.173,3.714,1.378,3.76,2.382,1.5787,2,1,উনি এই মেডিকেল রিসার্চ কাউন্সিলের চেয়ারম্যানও,"উনি এই মেডিকেল রিসার্চ কাউন্সিলের চেয়ারম্যান,"
deepgram_nova3_streaming,/audio_books/book_10_d_767.wav,audio_books,0.1694915254237288,0.45454545454545453,2.34,4.905,1.58,4.907,3.327,1.4748,3,1,শরীফ টেবিলে ড্রয়িং এর কাগজ মেলে তার ওপর আঙুল দিয়ে দেখিয়ে,শরীফ টেবিলের ড্রইংয়ের কাগজ মেলে তার উপর আঙ্গুল দিয়ে দেখিয়ে
deepgram_nova3_streaming,/audio_books/book_10_d_122.wav,audio_books,0.022727272727272728,0.2857142857142857,2.37,4.132,1.574,4.133,2.559,1.6152,2,1,পত্রবাহক দুজনকে দরকার হলে কিছু সাহায্য করবেন,"পত্র বাহক দুজনকে দরকার হলে কিছু সাহায্য করবেন,"
deepgram_nova3_streaming,/audio_books/book_10_d_664.wav,audio_books,0.0,0.0,2.177,2.465,1.38,2.513,1.133,2.2176,1,1,একটু পরে জিজ্ঞেস করলেন,"একটু পরে জিজ্ঞেস করলেন,"
deepgram_nova3_streaming,/audio_books/book_10_d_585.wav,audio_books,0.0,0.0,,1.954,1.21,1.958,0.748,2.6181,0,1,কোথায় পেলে,কোথায় পেলে?
deepgram_nova3_streaming,/audio_books/book_10_d_200.wav,audio_books,0.0,0.0,2.351,2.565,1.501,2.567,1.066,2.4082,1,1,ঘড়ির দিকে তাকালাম,"ঘড়ির দিকে তাকালাম,"
deepgram_nova3_streaming,/audio_books/book_10_d_197.wav,audio_books,0.0,0.0,,2.38,1.532,2.381,0.849,2.8049,0,1,রুমির খবর,"রুমির খবর,"
deepgram_nova3_streaming,/audio_books/book_10_d_824.wav,audio_books,0.018518518518518517,0.1,2.333,4.284,1.537,4.286,2.749,1.5592,2,1,এই কাপড়টা ওই আলমারির পেছনে বোমা কাটা দিয়ে সেটে দিলাম,এই কাপড়টা ওই আলমারির পেছনে বোমা কাটা দিয়ে সেটি দিলাম।
deepgram_nova3_streaming,/audio_books/book_10_d_676.wav,audio_books,0.19047619047619047,0.5,2.109,3.143,1.25,3.144,1.894,1.66,1,1,জুলাই সাত ১৯৭১ বুধবার,"জুলাই ৭, 19১ বুধবার"
deepgram_nova3_streaming,/audio_books/book_10_d_674.wav,audio_books,0.0,0.0,2.078,3.961,1.314,4.009,2.695,1.4875,2,1,আমিও খাটের অন্য পাশে কনুই রেখে মাটিতে বসলাম,"আমিও খাটের অন্য পাশে কনুই রেখে মাটিতে বসলাম,"
deepgram_nova3_streaming,/audio_books/book_10_d_1050.wav,audio_books,0.07142857142857142,0.16666666666666666,2.349,3.389,1.592,3.442,1.85,1.8607,1,1,এতো ঐ লোকটির জন্য গৌরবের কথা,"এতো ওই লোকটির জন্য গৌরবের কথা,"
deepgram_nova3_streaming,/biography/biography_100_d_52.wav,biography,0.0,0.0,,2.279,1.401,2.284,0.883,2.5865,0,1,সফর করেন,সফর করেন।
deepgram_nova3_streaming,/biography/biography_102_d_339.wav,biography,0.017857142857142856,0.1,2.315,6.512,1.722,6.846,5.124,1.336,4,2,১১৬ বছর বয়সে বাংলা আর বাঙালির হৃদয়ের মানুষ বাউল সম্রাট,16১৬ বছর বয়সে বাংলা আর বাঙালির হৃদয়ের মানুষ বাউল সম্রাট
deepgram_nova3_streaming,/biography/biography_102_d_77.wav,biography,0.0,0.0,2.404,2.847,1.631,2.849,1.218,2.339,1,1,প্রিয় মায়ের কাছে,প্রিয় মায়ের কাছে
deepgram_nova3_streaming,/biography/biography_102_d_318.wav,biography,0.0,0.0,2.422,5.151,1.562,5.152,3.59,1.4351,3,1,বিশ্বকবি রবীন্দ্রনাথ ঠাকুরের সাথেও তার সাক্ষাৎ হয়েছে বলে,বিশ্বকবি রবীন্দ্রনাথ ঠাকুরের সাথেও তার সাক্ষাৎ হয়েছে বলে
deepgram_nova3_streaming,/biography/biography_100_d_5.wav,biography,0.0,0.0,2.236,3.196,1.488,3.208,1.72,1.8649,1,1,বেল আইকনটিতে প্রেস করে দিতে,বেল আইকনটিতে প্রেস করে দিতে
deepgram_nova3_streaming,/biography/biography_100_d_153.wav,biography,0.047619047619047616,0.5,2.405,3.169,1.623,3.224,1.601,2.014,1,1,অন্যরাও তা খুঁজে পায়,অন্য রাও তা খুঁজে পায়।
deepgram_nova3_streaming,/biography/biography_102_d_335.wav,biography,0.09523809523809523,0.5,2.208,3.549,1.35,3.55,2.2,1.6137,2,1,১৮৯০ সালের ১৭ অক্টোবর,১৮9 সালের 17ই অক্টোবর
deepgram_nova3_streaming,/biography/biography_102_d_289.wav,biography,0.19047619047619047,0.4,2.089,2.927,1.156,2.934,1.778,1.6503,1,1,তা হবে এক হাজারের মতো,তা হবে একহাদের মতো
deepgram_nova3_streaming,/biography/biography_102_d_151.wav,biography,0.0,0.0,2.435,4.171,1.667,4.173,2.506,1.6652,2,1,এবং সবাই তার শিষ্যত্ব গ্রহণ করে,এবং সবাই তার শিষ্যত্ব গ্রহণ করে।
deepgram_nova3_streaming,/biography/biography_102_d_301.wav,biography,0.0,0.0,2.342,3.39,1.57,3.436,1.866,1.8416,1,1,গ্রামের মানুষেরা এই গানকে,গ্রামের মানুষেরা এই গানকে
deepgram_nova3_streaming,/biography/biography_102_d_241.wav,biography,0.0,0.0,2.119,4.538,1.406,4.577,3.171,1.4433,3,1,এই মাজারকে ঘিরেই বাউল উৎসবের কথা বলেছেন,"এই মাজারকে ঘিরেই বাউল উৎসবের কথা বলেছেন,"
deepgram_nova3_streaming,/biography/biography_101_d_20.wav,biography,0.018867924528301886,0.125,2.186,5.338,1.391,5.39,3.999,1.3478,3,1,১৫২৬ খ্রিস্টাব্দে তিনি পানি পথের যুদ্ধে অংশগ্রহণ করেন,১৫৬ খ্রিস্টাব্দে তিনি পানি পথের যুদ্ধে অংশগ্রহণ করেন।
deepgram_nova3_streaming,/biography/biography_102_d_282.wav,biography,0.07692307692307693,0.4,2.309,3.145,1.482,3.154,1.672,1.8866,1,1,খাতা কলাম নিয়ে ছুটে আসছেন,"খাতা কলম নিয়ে ছুটে আসতেন,"
deepgram_nova3_streaming,/biography/biography_102_d_136.wav,biography,0.56,0.75,2.279,3.322,1.494,3.374,1.88,1.7948,1,1,সেউরিয়া গ্রামে আখরা করেন,"গ্রামে আখ্যা গড়েন,"
deepgram_nova3_streaming,/biography/biography_100_d_87.wav,biography,0.0,0.0,,2.21,1.278,2.214,0.936,2.3649,0,1,পরম সত্য,"পরম সত্য,"
deepgram_nova3_streaming,/biography/biography_102_d_250.wav,biography,0.0,0.0,2.363,2.564,1.585,2.619,1.034,2.5325,1,1,ভালো সম্পর্ক,"ভালো সম্পর্ক,"
deepgram_nova3_streaming,/biography/biography_102_d_143.wav,biography,0.0,0.0,2.43,4.534,1.698,4.571,2.873,1.5911,2,1,জঙ্গলের মধ্যে এই সাধক পুরুষের কথা,জঙ্গলের মধ্যে এই সাধক পুরুষের কথা
deepgram_nova3_streaming,/biography/biography_102_d_184.wav,biography,0.3157894736842105,0.6666666666666666,2.281,4.313,1.507,4.321,2.814,1.5356,2,1,বৈরাগী কম্ব মিত্রের আখড়ায় আশ্রয় নেন,"বোরে গিয়ে কুম্ভ মিত্রের আঁকায় আশ্রয় নেন,"
deepgram_nova3_streaming,/biography/biography_102_d_249.wav,biography,0.0,0.0,2.162,4.009,1.423,4.058,2.635,1.54,2,1,তবে সব ধর্মের মানুষের সাথে তার ছিল,তবে সব ধর্মের মানুষের সাথে তার ছিল
deepgram_nova3_streaming,/biography/biography_102_d_294.wav,biography,0.0,0.0,2.077,2.457,1.282,2.508,1.226,2.046,1,1,মানুষের কল্যাণে,মানুষের কল্যাণে
deepgram_nova3_streaming,/biography/biography_102_d_254.wav,biography,0.037037037037037035,0.25,2.424,3.785,1.702,3.831,2.129,1.7994,2,1,মুসলমানরা ভাবত তিনি মুসলমান,"মুসলমানরা ভাবতো তিনি মুসলমান,"
deepgram_nova3_streaming,/biography/biography_102_d_173.wav,biography,0.0,0.0,2.239,4.855,1.505,4.868,3.363,1.4475,3,1,মায়ের আদর স্নেহের কথা স্মরণ করেছেন বারে বারে,মায়ের আদর স্নেহের কথা স্মরণ করেছেন বারে বারে
deepgram_nova3_streaming,/biography/biography_102_d_48.wav,biography,0.0,0.0,2.148,3.092,1.366,3.138,1.772,1.771,1,1,তাও সংখ্যায় খুবই কম,তাও সংখ্যায় খুবই কম
deepgram_nova3_streaming,/biography/biography_100_d_131.wav,biography,0.21428571428571427,0.5,,2.193,1.315,2.198,0.883,2.4891,0,1,আল্লাহ তায়ালা,আল্লাহ তাআলা
deepgram_nova3_streaming,/biography/biography_100_d_189.wav,biography,0.07692307692307693,0.6666666666666666,2.127,2.734,1.373,2.779,1.406,1.9766,1,1,আমিই পরম সত্য,আমি ই পরম সত্য।
deepgram_nova3_streaming,/biography/biography_100_d_3.wav,biography,0.038461538461538464,0.5,2.26,3.278,1.433,3.29,1.857,1.7715,1,1,মানসুর আল হাল্লাজ সম্পর্কে,মানসুর আলহাল্লাজ সম্পর্কে
deepgram_nova3_streaming,/biography/biography_101_d_69.wav,biography,0.047619047619047616,0.5,2.269,3.036,1.44,3.297,1.857,1.7752,1,1,আত্ম কলহের সৃষ্টি হয়,আত্মকলহের সৃষ্টি হয়।
deepgram_nova3_streaming,/biography/biography_100_d_93.wav,biography,0.5925925925925926,0.6,,1.983,1.218,3.198,1.98,1.615,0,1,তিনি নিজেকে খোদা দাবি করছেন,তিনি নিজেকে
deepgram_nova3_streaming,/biography/biography_100_d_204.wav,biography,0.06818181818181818,0.42857142857142855,2.068,3.883,1.274,3.936,2.662,1.4786,2,1,উনাকে যখন বিচারের কাঠগড়ায় নিয়ে যাওয়া হয়,"অনেকে যখন বিচারের কাঠ গড়ায় নিয়ে যাওয়া হয়,"
deepgram_nova3_streaming,/biography/biography_100_d_125.wav,biography,0.23076923076923078,0.3333333333333333,,2.346,1.425,2.354,0.929,2.5339,0,1,হত্যা করা হয়,"হতে করা হয়,"
